Species,Length,Sex,Quadrat,Interval,Year
Cemarginatus,23,f,7,1,2013
Cemarginatus,17,f,7,1,2013
Cemarginatus,17.5,f,7,1,2013
Cgoryi,15,f,7,1,2013
Cgoryi,14,f,7,1,2013
Cgoryi,12,f,7,1,2013
Mcyanescens,13,f,7,1,2013
Pstygicus,13.5,f,7,1,2013
Aferreum,12,f,7,1,2013
Aferreum,11,f,7,1,2013
Aferreum,11.0,f,7,1,2013
Aferreum,12,m,7,1,2013
Atrigeminum,13.5,m,7,1,2013
Atrigeminum,14,m,7,1,2013
Cemarginatus,14,m,7,1,2013
Cgoryi,15.5,m,7,1,2013
Cgoryi,22,m,7,1,2013
Cgoryi,20.5,m,7,1,2013
Cgoryi,16,m,7,1,2013
Padoxus,16,m,7,1,2013
Padoxus,12,m,7,1,2013
Pangustatus,14,m,7,1,2013
Pangustatus,13,m,7,1,2013
Pangustatus,12.5,m,7,1,2013
Pangustatus,9.5,f,8,1,2013
Pangustatus,14.5,f,8,1,2013
Phypolithos,15,f,8,1,2013
Pllucublandus,15.5,f,8,1,2013
Pllucublandus,16,f,8,1,2013
Popaculus,22,f,8,1,2013
Pstygicus,22,f,8,1,2013
Pstygicus,22,f,8,1,2013
Pstygicus,17,f,8,1,2013
Pstygicus,17,f,8,1,2013
Pstygicus,18,f,8,1,2013
Pstygicus,14,f,8,1,2013
Ptenuicolle,13.5,f,8,1,2013
Ptristis,15,f,8,1,2013
Sslecontei,12,f,8,1,2013
Alugubris,13,f,8,1,2013
Cfucatus,15,f,8,1,2013
Cfucatus,11,f,8,1,2013
Cfucatus,12,f,8,1,2013
Cfucatus,15,f,8,1,2013
Cfucatus,7.5,f,8,1,2013
Cfucatus,10,m,8,1,2013
Cfucatus,15,m,8,1,2013
Cfucatus,13.5,m,8,1,2013
Cfucatus,15,m,8,1,2013
Cgoryi,14.0,m,8,1,2013
Cgoryi,15.0,m,8,1,2013
Cgoryi,15,m,8,1,2013
Cgoryi,15,m,8,1,2013
Pangustatus,21.5,m,8,1,2013
Pangustatus,20.0,m,8,1,2013
Patratus,16.5,m,8,1,2013
Pllucublandus,16,m,8,1,2013
Pllucublandus,16,m,8,1,2013
Pllucublandus,15.5,m,8,1,2013
Pllucublandus,16.5,m,8,1,2013
Pmoestus,16.5,m,8,1,2013
Pmoestus,16,m,8,1,2013
Pmoestus,16,m,8,1,2013
Pmoestus,16,m,8,1,2013
Pmoestus,16.5,m,8,1,2013
Pmoestus,10,m,8,1,2013
Pstygicus,8.5,m,8,1,2013
Pstygicus,16.5,f,9,1,2013
Ptristis,15.5,f,9,1,2013
Ptristis,17.5,f,9,1,2013
Sslecontei,18.5,f,9,1,2013
Sslecontei,16,m,9,1,2013
Cemarginatus,15,m,9,1,2013
Cgoryi,15.0,m,9,1,2013
Cgoryi,19,m,9,1,2013
Dteter,5.5,f,11,1,2013
Dteter,15,f,12,1,2013
Padoxus,10,f,12,1,2013
Padoxus,14.5,m,12,1,2013
Padoxus,15,m,12,1,2013
Padoxus,15.5,m,12,1,2013
Padoxus,14,m,12,1,2013
Padoxus,12.5,m,12,1,2013
Padoxus,13,f,13,1,2013
Pangustatus,13,f,14,1,2013
Pangustatus,11.5,f,14,1,2013
Pangustatus,11.5,f,14,1,2013
Pangustatus,15,f,17,1,2013
Pangustatus,14,f,17,1,2013
Pangustatus,12,f,17,1,2013
Pangustatus,11.5,f,17,1,2013
Pangustatus,19,m,17,1,2013
Pangustatus,6.5,f,18,1,2013
Pangustatus,15,m,19,1,2013
Pangustatus,15,m,19,1,2013
Pangustatus,11,f,20,1,2013
Pangustatus,14.5,f,20,1,2013
Pangustatus,8.5,f,20,1,2013
Pangustatus,15,f,20,1,2013
Pmoestus,11.0,f,20,1,2013
Pmoestus,10.5,f,20,1,2013
Pstygicus,12.0,f,20,1,2013
Pstygicus,13.5,m,20,1,2013
Ptenuicolle,13,m,20,1,2013
Ptenuicolle,18.5,m,23,1,2013
Ptristis,19,m,23,1,2013
Sslecontei,14.0,f,25,1,2013
Aexcavatum,17.0,f,25,1,2013
Ainterstitialis,22,f,25,1,2013
Ainterstitialis,11.5,f,25,1,2013
Cemarginatus,16.0,m,25,1,2013
Cgoryi,21,m,25,1,2013
Dteter,12.5,m,25,1,2013
Padoxus,13,m,25,1,2013
Padoxus,8,f,27,1,2013
Padoxus,7,f,27,1,2013
Padoxus,8,f,27,1,2013
Padoxus,7,f,27,1,2013
Pangustatus,7.5,f,27,1,2013
Pangustatus,8,f,27,1,2013
Pangustatus,8.0,,27,1,2013
Pangustatus,14.5,f,29,1,2013
Pangustatus,16.5,f,30,1,2013
Pangustatus,15.5,m,30,1,2013
Phypolithos,16,m,30,1,2013
Pstygicus,15.5,f,31,1,2013
Ptristis,5,f,31,1,2013
Alucidula,15,m,31,1,2013
Amelanarium,13,m,31,1,2013
Amelanarium,16,m,31,1,2013
Amelanarium,13.5,f,32,1,2013
Atrigeminum,15.5,m,32,1,2013
Cgoryi,22,f,33,1,2013
Cgoryi,20.5,f,33,1,2013
Cgoryi,10.5,m,33,1,2013
Cssodalis,10,m,33,1,2013
Cssodalis,12,m,34,1,2013
Cssodalis,12.5,m,34,1,2013
cssodalis,11,f,36,1,2013
Pangustatus,13,f,37,1,2013
Pangustatus,15,f,37,1,2013
Pangustatus,12,f,37,1,2013
Pangustatus,14,f,37,1,2013
Pangustatus,13.5,f,37,1,2013
Pangustatus,15,m,37,1,2013
Patratus,14,m,37,1,2013
Patratus,15,m,37,1,2013
Patratus,15.5,m,37,1,2013
Patratus,13,m,37,1,2013
Patratus,10.5,m,37,1,2013
Patratus,8,f,38,1,2013
Patratus,10,f,38,1,2013
Patratus,15.5,m,40,1,2013
Patratus,15.5,f,1,2,2013
Patratus,14.5,m,1,2,2013
Patratus,13.8,m,1,2,2013
Patratus,12,m,1,2,2013
Patratus,14,m,1,2,2013
Patratus,13.5,m,1,2,2013
Patratus,14,m,1,2,2013
Patratus,14,m,1,2,2013
Phamiltoni,14,m,1,2,2013
Phamiltoni,15,m,1,2,2013
Phamiltoni,19.5,m,1,2,2013
Phamiltoni,13,m,1,2,2013
Phamiltoni,18.5,f,2,2,2013
Phamiltoni,13.0,f,2,2,2013
Phamiltoni,19.0,f,4,2,2013
Phamiltoni,12.5,f,4,2,2013
Phamiltoni,8,f,5,2,2013
Phamiltoni,15,f,5,2,2013
Phamiltoni,14,m,5,2,2013
Phamiltoni,14.5,m,5,2,2013
Phypolithos,18,m,5,2,2013
Phypolithos,18.5,f,6,2,2013
Phypolithos,11.5,m,6,2,2013
Phypolithos,17.0,f,7,2,2013
Phypolithos,14.0,f,7,2,2013
Phypolithos,14.0,f,7,2,2013
Pllucublandus,16.5,f,7,2,2013
Pllucublandus,15.0,f,7,2,2013
Pllucublandus,13.5,f,7,2,2013
Pllucublandus,10.5,m,7,2,2013
Pmoestus,13.5,m,7,2,2013
Pstygicus,12.5,m,7,2,2013
Pstygicus,15.0,f,10,2,2013
Pstygicus,11.0,f,10,2,2013
Pstygicus,16.0,m,10,2,2013
Pstygicus,16,f,12,2,2013
Pstygicus,20,f,12,2,2013
Pstygicus,14,f,12,2,2013
Cfucatus,14.5,m,12,2,2013
Cfucatus,15,m,12,2,2013
Pangustatus,18.5,m,12,2,2013
Pangustatus,15,m,12,2,2013
Patratus,16,m,12,2,2013
Patratus,12,m,12,2,2013
Patratus,12.0,m,13,2,2013
Patratus,23.0,f,14,2,2013
Patratus,10.0,f,15,2,2013
Patratus,10.0,f,15,2,2013
Patratus,20.0,f,15,2,2013
Patratus,22.0,f,15,2,2013
Phamiltoni,20.0,f,15,2,2013
Phamiltoni,17.5,f,15,2,2013
Phamiltoni,14.0,f,15,2,2013
Phamiltoni,18.0,f,16,2,2013
Phamiltoni,5.0,f,16,2,2013
Phamiltoni,21.0,f,17,2,2013
Phamiltoni,15.0,f,17,2,2013
Phamiltoni,11.0,f,17,2,2013
Phamiltoni,9.5,m,17,2,2013
Phamiltoni,14.5,m,17,2,2013
Phamiltoni,14,f,18,2,2013
Phamiltoni,11,f,18,2,2013
Phamiltoni,11,f,18,2,2013
Phamiltoni,15,m,18,2,2013
Phamiltoni,15.5,m,18,2,2013
Phamiltoni,16,m,18,2,2013
Phamiltoni,16,m,18,2,2013
Phamiltoni,16,m,18,2,2013
Phamiltoni,18.5,m,18,2,2013
Phamiltoni,11.0,f,19,2,2013
Phypolithos,17.0,m,19,2,2013
Phypolithos,17.0,f,20,2,2013
Pllucublandus,13.0,f,20,2,2013
Pllucublandus,11.0,m,20,2,2013
Pstygicus,9.0,f,22,2,2013
Pstygicus,15.5,m,23,2,2013
Pstygicus,20.5,m,23,2,2013
Pstygicus,16.5,m,23,2,2013
Pstygicus,17.0,m,23,2,2013
Pstygicus,17.0,f,25,2,2013
Pstygicus,20.0,f,25,2,2013
Alucidula,15.0,m,25,2,2013
Plachrymosus,14.5,m,25,2,2013
Pmoestus,20.0,m,25,2,2013
Pmoestus,17.5,m,25,2,2013
Scanadensis,13.0,f,26,2,2013
Scanadensis,18.0,m,26,2,2013
Cssodalis,16.0,f,27,2,2013
Cssodalis,20.0,f,27,2,2013
Padoxus,11.5,f,27,2,2013
Plachrymosus,15.0,f,27,2,2013
Pmoestus,14.5,f,27,2,2013
Pmoestus,16.5,m,27,2,2013
Pmoestus,15.5,m,27,2,2013
Ptenuicolle,15.0,m,27,2,2013
Ainterstitialis,14.0,m,27,2,2013
Atrigeminum,14.0,m,27,2,2013
Cemarginatus,21.0,f,28,2,2013
Cfucatus,13.5,f,28,2,2013
Cgoryi,14.5,f,29,2,2013
Cgoryi,15.0,f,30,2,2013
Cgoryi,16.0,f,30,2,2013
Cgoryi,15.0,f,30,2,2013
Cssodalis,17.0,m,30,2,2013
Cssodalis,10.0,f,31,2,2013
Cssodalis,22.0,f,32,2,2013
Cssodalis,16.0,f,32,2,2013
Pangustatus,13.0,f,32,2,2013
Pangustatus,20.5,m,32,2,2013
Patratus,19.0,m,32,2,2013
Patratus,15.5,m,32,2,2013
Patratus,10.0,f,34,2,2013
Patratus,15.0,m,34,2,2013
Patratus,10.0,f,35,2,2013
Patratus,13.0,m,35,2,2013
Patratus,14.5,m,35,2,2013
Phamiltoni,15,f,37,2,2013
Phamiltoni,13.0,f,37,2,2013
Phamiltoni,13.0,f,37,2,2013
Phypolithos,14.0,m,37,2,2013
Phypolithos,15.0,m,37,2,2013
Phypolithos,9.0,f,38,2,2013
Phypolithos,14.0,m,38,2,2013
Pllucublandus,16.5,f,39,2,2013
Pllucublandus,17.5,f,39,2,2013
Pllucublandus,16.5,f,39,2,2013
Pllucublandus,16.0,f,39,2,2013
Pllucublandus,15.0,f,39,2,2013
Pllucublandus,15.5,f,39,2,2013
Pstygicus,16.0,f,39,2,2013
Pstygicus,17.0,f,39,2,2013
Ptenuicolle,15.0,f,39,2,2013
Ptenuicolle,15.0,f,39,2,2013
Sslecontei,16.0,f,39,2,2013
Ainterstitialis,20.5,f,39,2,2013
Ainterstitialis,15.5,m,39,2,2013
Cemarginatus,16.0,m,39,2,2013
Cemarginatus,16.0,m,39,2,2013
Cemarginatus,16.0,m,39,2,2013
Cemarginatus,15.5,m,39,2,2013
Cfucatus,14.5,m,39,2,2013
Cfucatus,14.0,m,39,2,2013
Cgoryi,16.0,m,39,2,2013
Cgoryi,18.5,m,39,2,2013
Cgoryi,15.0,f,40,2,2013
Cgoryi,14.5,f,40,2,2013
Cgoryi,16.5,m,40,2,2013
Cssodalis,15.5,m,40,2,2013
Cssodalis,17.5,m,40,2,2013
Cssodalis,15.5,f,41,2,2013
Cssodalis,8.0,f,41,2,2013
Padoxus,19.0,f,41,2,2013
Pangustatus,15.5,m,41,2,2013
Pangustatus,14.5,m,41,2,2013
Patratus,13.5,m,41,2,2013
Patratus,16.5,m,41,2,2013
Patratus,16.5,m,41,2,2013
Patratus,18.5,f,42,2,2013
Patratus,16.5,f,42,2,2013
Patratus,17.5,f,42,2,2013
Patratus,18,f,42,2,2013
Patratus,19,f,42,2,2013
Phamiltoni,16.5,f,42,2,2013
Phamiltoni,11.5,f,42,2,2013
Phamiltoni,11,m,42,2,2013
Phypolithos,14.5,m,42,2,2013
Pllucublandus,18.2,m,42,2,2013
Pllucublandus,19.5,m,42,2,2013
Pllucublandus,18,m,42,2,2013
Pllucublandus,16.5,m,42,2,2013
Pllucublandus,17.5,m,42,2,2013
Pllucublandus,18.5,m,42,2,2013
Pstygicus,11,m,42,2,2013
Pstygicus,20.0,f,1,3,2013
Pstygicus,13.0,f,1,3,2013
Ptristis,15.5,m,1,3,2013
Ainterstitialis,22.5,m,1,3,2013
Cconvivus,18.0,m,1,3,2013
Cemarginatus,20.0,m,1,3,2013
Cemarginatus,16.0,f,2,3,2013
Cemarginatus,23.0,f,2,3,2013
Cemarginatus,15.0,m,2,3,2013
Cemarginatus,14.5,m,2,3,2013
Cfucatus,16.0,m,2,3,2013
Cfucatus,20.5,m,2,3,2013
Cgoryi,24.5,f,3,3,2013
Cgoryi,15.5,f,3,3,2013
Cgoryi,21.5,m,3,3,2013
Cgoryi,20.0,m,3,3,2013
Cssodalis,19.0,m,3,3,2013
Cssodalis,19.0,m,3,3,2013
Cssodalis,18.0,m,3,3,2013
Cssodalis,19.0,m,3,3,2013
Cssodalis,19.0,m,3,3,2013
Cssodalis,16.0,m,3,3,2013
Cssodalis,17.0,f,4,3,2013
Cssodalis,23.0,f,4,3,2013
Dsculptilis,22.0,f,4,3,2013
Dteter,17.0,f,4,3,2013
Padoxus,15.5,m,4,3,2013
Padoxus,16.0,m,4,3,2013
Pangustatus,16.5,m,4,3,2013
Pangustatus,19.5,f,5,3,2013
Phamiltoni,14.0,f,5,3,2013
Phamiltoni,16.0,f,5,3,2013
Phamiltoni,14.0,f,5,3,2013
Phypolithos,15.5,m,5,3,2013
Pllucublandus,26.5,f,7,3,2013
Pllucublandus,26.5,f,7,3,2013
Popaculus,16.5,f,7,3,2013
Pstygicus,14.0,f,7,3,2013
Pstygicus,14.5,f,7,3,2013
Pstygicus,17.5,f,7,3,2013
Pstygicus,25.0,m,7,3,2013
Pstygicus,16.0,m,7,3,2013
Pstygicus,23.5,m,7,3,2013
Pstygicus,17.0,m,7,3,2013
Ptenuicolle,17.0,m,7,3,2013
Ptenuicolle,17.0,m,7,3,2013
Ptenuicolle,18.0,m,7,3,2013
Sslecontei,24.5,f,8,3,2013
Sslecontei,17.5,f,8,3,2013
Unknown,22.5,f,8,3,2013
Ainterstitialis,16.0,f,8,3,2013
Cemarginatus,15.5,f,8,3,2013
Cemarginatus,13.5,f,8,3,2013
Cemarginatus,15.0,m,8,3,2013
Cemarginatus,18.5,m,8,3,2013
Cemarginatus,20.5,m,8,3,2013
Cemarginatus,16.0,m,8,3,2013
Cfucatus,17.0,m,8,3,2013
Cfucatus,16.0,f,9,3,2013
Cfucatus,21.5,f,9,3,2013
Cfucatus,17.0,m,9,3,2013
Cgoryi,22.0,m,9,3,2013
Cgoryi,22.0,.,10,3,2013
Cgoryi,18.5,f,11,3,2013
Cseximpressus,17.5,f,12,3,2013
Cseximpressus,23.5,f,13,3,2013
Cseximpressus,23.0,f,13,3,2013
Cssodalis,16.0,f,13,3,2013
Cssodalis,13.0,f,13,3,2013
Cssodalis,28.0,f,14,3,2013
Cssodalis,22.5,f,14,3,2013
Cssodalis,19.5,f,14,3,2013
Cssodalis,21.0,m,14,3,2013
Cssodalis,11.5,f,15,3,2013
Cssodalis,14.0,f,15,3,2013
Cssodalis,21.5,f,15,3,2013
Cssodalis,25.5,f,15,3,2013
Cssodalis,17.5,f,15,3,2013
Cssodalis,18.0,f,15,3,2013
Cssodalis,16.0,f,15,3,2013
Cssodalis,19.0,f,15,3,2013
Cyclotrachelus,15.5,m,15,3,2013
Padoxus,15.0,m,15,3,2013
Padoxus,24.0,m,15,3,2013
Phamiltoni,19.0,m,15,3,2013
Pllucublandus,21.0,m,15,3,2013
Pmutus,20.0,m,15,3,2013
Pstygicus,21.5,m,15,3,2013
Pstygicus,17.5,m,15,3,2013
Pstygicus,16.5,m,15,3,2013
Sslecontei,21.0,f,17,3,2013
Cfucatus,17.0,f,17,3,2013
Cfucatus,17.0,f,17,3,2013
Cfucatus,22.0,f,17,3,2013
Cgoryi,15.5,m,17,3,2013
Cgoryi,16.0,m,17,3,2013
Cgoryi,13.5,m,17,3,2013
Padoxus,20.0,f,18,3,2013
Padoxus,20.5,f,18,3,2013
Pangustatus,12.5,f,18,3,2013
Pangustatus,20.0,m,18,3,2013
Pangustatus,18.0,f,19,3,2013
Pangustatus,22.0,f,20,3,2013
Pangustatus,18.0,f,20,3,2013
Pangustatus,21.5,f,22,3,2013
Pangustatus,16.5,f,22,3,2013
Pangustatus,12.0,f,22,3,2013
Pangustatus,22.0,m,22,3,2013
Pangustatus,20.5,m,22,3,2013
Pangustatus,20.0,m,22,3,2013
Pangustatus,20.0,m,22,3,2013
Plachrymosus,17.0,f,25,3,2013
Plachrymosus,17.5,f,25,3,2013
Plachrymosus,15.0,f,25,3,2013
Plachrymosus,17.5,f,25,3,2013
Pmoestus,19.0,f,25,3,2013
Sslecontei,19.0,f,25,3,2013
Cfucatus,19.0,f,25,3,2013
Cfucatus,25.5,f,25,3,2013
Cfucatus,23.5,f,25,3,2013
Cfucatus,20.5,f,25,3,2013
Cgoryi,20.0,f,25,3,2013
Cgoryi,13.0,f,25,3,2013
Cgoryi,12.5,f,25,3,2013
Cgoryi,16.5,f,25,3,2013
Cgoryi,21.5,m,25,3,2013
Padoxus,17.5,m,25,3,2013
Pangustatus,16.0,m,25,3,2013
Pangustatus,17.0,m,25,3,2013
Pangustatus,17.5,m,25,3,2013
Pangustatus,18.5,m,25,3,2013
Pangustatus,18.5,m,25,3,2013
Plachrymosus,17.5,m,25,3,2013
Plachrymosus,19.0,m,25,3,2013
Plachrymosus,22.0,m,25,3,2013
Plachrymosus,19.0,m,25,3,2013
Plachrymosus,20.0,m,25,3,2013
Pmoestus,21.0,m,25,3,2013
Ptristis,20.0,m,25,3,2013
Ptristis,18.0,m,25,3,2013
Dteter,21.0,m,25,3,2013
Padoxus,16.5,f,26,3,2013
Pangustatus,17.5,m,26,3,2013
Pangustatus,20.0,m,26,3,2013
Pangustatus,23.5,f,27,3,2013
Pangustatus,22.5,f,27,3,2013
Prostratus,16.5,f,27,3,2013
Ptenuicolle,22.0,f,27,3,2013
Ptenuicolle,20.5,f,27,3,2013
Cfucatus,13.5,f,27,3,2013
Padoxus,18.5,f,27,3,2013
Cfucatus,17.5,f,27,3,2013
Cgoryi,17.0,m,27,3,2013
Naeneus,22.0,m,27,3,2013
Padoxus,21.0,m,27,3,2013
Padoxus,17.0,m,27,3,2013
Pangustatus,15.0,f,28,3,2013
Pangustatus,20.0,f,28,3,2013
Pangustatus,16.5,m,28,3,2013
Pangustatus,16.0,m,28,3,2013
Pangustatus,18.5,m,28,3,2013
Pangustatus,16.0,f,29,3,2013
Pangustatus,14.5,f,29,3,2013
Pangustatus,16.5,m,29,3,2013
Cgoryi,19.0,m,29,3,2013
Padoxus,18.0,m,29,3,2013
Pangustatus,17.5,f,30,3,2013
Cfucatus,16.5,f,30,3,2013
Cfucatus,23.0,f,30,3,2013
Cfucatus,17.5,m,30,3,2013
Cgoryi,22.5,f,31,3,2013
Dteter,19.0,f,31,3,2013
Mcoracinus,16.0,f,31,3,2013
Padoxus,18.5,f,31,3,2013
Padoxus,29.0,f,31,3,2013
Padoxus,22.5,f,31,3,2013
Pangustatus,26.5,f,32,3,2013
Pangustatus,31.5,f,32,3,2013
Pangustatus,23.0,f,32,3,2013
Pangustatus,26.5,f,32,3,2013
Pangustatus,28.0,m,32,3,2013
Pangustatus,27.0,m,32,3,2013
Pangustatus,24.0,m,32,3,2013
Pangustatus,18.0,m,32,3,2013
Pangustatus,20.0,m,32,3,2013
Pangustatus,21.0,m,32,3,2013
Plachrymosus,20.0,m,32,3,2013
Pmoestus,21.5,m,32,3,2013
Pmutus,14.0,f,33,3,2013
Prostratus,21.0,f,33,3,2013
Sviduus,19.0,f,33,3,2013
Cfucatus,17.5,m,33,3,2013
Cfucatus,17.0,m,33,3,2013
Cfucatus,14.0,f,34,3,2013
Cfucatus,19.5,f,36,3,2013
Cfucatus,17.0,f,36,3,2013
Dteter,15.5,f,36,3,2013
Mcoracinus,20.5,m,36,3,2013
Padoxus,23.0,m,36,3,2013
Padoxus,13.5,f,37,3,2013
Padoxus,16.5,f,38,3,2013
Padoxus,15.5,f,38,3,2013
Pangustatus,19.5,f,38,3,2013
Pangustatus,20.0,f,38,3,2013
Pangustatus,18.5,m,38,3,2013
Pangustatus,18.0,m,38,3,2013
Pangustatus,17.0,f,39,3,2013
Prostratus,16.5,f,39,3,2013
Ptristis,18.0,f,39,3,2013
Sslecontei,19.0,f,39,3,2013
Sslecontei,17.0,f,39,3,2013
Cgoryi,18.0,f,39,3,2013
Cgoryi,22.0,f,39,3,2013
Cgoryi,20.5,f,39,3,2013
Cgoryi,16.5,f,39,3,2013
Cgoryi,16.5,f,39,3,2013
Cgoryi,18.0,f,39,3,2013
Cgoryi,21.0,f,39,3,2013
Cgoryi,12.5,f,39,3,2013
Cgoryi,16.5,m,39,3,2013
Cgoryi,17.5,m,39,3,2013
Cgoryi,18.5,m,39,3,2013
Cgoryi,18.0,m,39,3,2013
Cgoryi,16.0,m,39,3,2013
Dteter,18.0,m,39,3,2013
Dteter,17.0,m,39,3,2013
Mcyanescens,18.0,m,39,3,2013
Padoxus,17.0,m,39,3,2013
Padoxus,17.0,m,39,3,2013
Padoxus,23.0,.,40,3,2013
Pangustatus,26.0,.,40,3,2013
Pangustatus,22.0,.,40,3,2013
Pangustatus,22.0,.,40,3,2013
Pmoestus,5.5,.,40,3,2013
Pmoestus,19.5,f,41,3,2013
Ptenuicolle,14.0,f,41,3,2013
Sslecontei,20.5,m,41,3,2013
Cconvivus,21.0,f,42,3,2013
Cconvivus,17.5,m,42,3,2013
Cgoryi,15.5,m,42,3,2013
Cgoryi,18.0,m,42,3,2013
Cgoryi,20.5,m,42,3,2013
Cgoryi,17.5,m,42,3,2013
Cgoryi,20.5,m,1,4,2013
Cgoryi,17.5,f,2,4,2013
Cgoryi,8.5,f,2,4,2013
Cgoryi,15..5,f,2,4,2013
Cgoryi,13.5,m,2,4,2013
Cgoryi,13.5,m,2,4,2013
Dteter,14.0,m,2,4,2013
Mcoracinus,21.0,f,4,4,2013
Padoxus,9.5,m,4,4,2013
Pangustatus,9.0,f,5,4,2013
Pangustatus,17.0,f,5,4,2013
Pmoestus,17.5,f,5,4,2013
Pmoestus,14.5,f,5,4,2013
Ptristis,15.0,f,5,4,2013
Sslecontei,13.0,f,5,4,2013
Sslecontei,14.0,f,5,4,2013
Aferreum,14.0,f,5,4,2013
Cconvivus,12.0,f,5,4,2013
Cemarginatus,19.0,f,5,4,2013
Cemarginatus,16.0,f,5,4,2013
Cemarginatus,14.0,m,5,4,2013
Cemarginatus,15.5,m,5,4,2013
Cemarginatus,18.5,f,6,4,2013
Cemarginatus,15.5,m,6,4,2013
Cemarginatus,15.5,m,6,4,2013
Cfucatus,17.5,m,6,4,2013
Cgoryi,10.0,f,7,4,2013
Cgoryi,14.0,f,7,4,2013
Cgoryi,14.0,f,7,4,2013
Cgoryi,16.0,m,7,4,2013
Cgoryi,14.0,m,7,4,2013
Cgoryi,15.5,f,8,4,2013
Cgoryi,15.0,f,8,4,2013
Cgoryi,17.0,f,8,4,2013
Cseximpressus,18.0,f,8,4,2013
Dsculptilis,18.5,f,8,4,2013
Mcoracinus,14.5,f,8,4,2013
Padoxus,14.0,m,8,4,2013
Padoxus,15.0,m,8,4,2013
Padoxus,14.5,m,8,4,2013
Pangustatus,13.0,m,8,4,2013
Plachrymosus,15.5,m,9,4,2013
Plachrymosus,12.0,f,10,4,2013
Ptenuicolle,18.0,f,12,4,2013
Ptenuicolle,22.5,f,13,4,2013
Ptristis,22.0,f,13,4,2013
Sslecontei,23.0,f,13,4,2013
Cconvivus,15.0,f,13,4,2013
Cconvivus,14.0,m,13,4,2013
Cconvivus,22.0,m,13,4,2013
Cconvivus,22.5,m,13,4,2013
Cconvivus,21.0,m,13,4,2013
Cconvivus,21.0,m,13,4,2013
Cemarginatus,21.0,m,13,4,2013
Cemarginatus,14.0,f,14,4,2013
Cemarginatus,15.5,f,14,4,2013
Cemarginatus,15.0,f,14,4,2013
Cemarginatus,15.5,f,14,4,2013
Cemarginatus,15.0,f,14,4,2013
Cemarginatus,17.0,f,14,4,2013
Cgoryi,22.0,f,14,4,2013
Cgoryi,22.0,f,14,4,2013
Cgoryi,20.5,f,14,4,2013
Cgoryi,21.0,f,14,4,2013
Cgoryi,14.5,f,14,4,2013
Cgoryi,14.0,f,14,4,2013
Cgoryi,16.0,m,14,4,2013
Cgoryi,16.0,m,14,4,2013
Cgoryi,15.5,m,14,4,2013
Cseximpressus,14.0,m,14,4,2013
Cseximpressus,13.5,m,14,4,2013
Cseximpressus,14.0,m,14,4,2013
